1,1023,Onix,2025-01-05,2025-01-10,1250.0,"R$ 150,00"
2,1045,HB20,2025-01-07,2025-01-12,1400.0,"R$ 150,00"
3,1102,Tracker,2025-01-10,2025-01-15,1750.5,"R$ 200,00"
4,1150,T-Cross,2025-01-12,2025-01-16,1120.75,"R$ 200,00"
5,1201,Civic,2025-01-15,2025-01-17,800.0,"R$ 250,00"
6,1254,Civic,2025-01-18,2025-01-31,4525.25,"R$ 250,00"
7,1300,L200,2025-01-20,2025-01-29,4875.0,"R$ 300,00"
8,1356,Compass,2025-01-22,2025-01-28,3400.6,"R$ 400,00"
9,1025,Onix,2025-02-01,2025-02-05,1000.0,"R$ 150,00"
10,1023,HB20,2025-02-03,2025-02-07,1120.0,"R$ 150,00"
11,1122,Tracker,2025-02-05,2025-02-07,425.75,"R$ 200,00"
12,1177,T-Cross,2025-02-08,2025-02-12,1240.5,"R$ 200,00"
13,1225,Civic,2025-02-10,2025-02-15,1750.0,"R$ 250,00"
14,1270,Civic,2025-02-12,2025-02-17,2000.0,"R$ 250,00"
15,1300,L200,2025-02-14,2025-02-15,500.0,"R$ 300,00"
16,1375,Compass,2025-02-16,2025-02-21,3600.0,"R$ 400,00"
17,1005,Onix,2025-02-18,2025-02-19,400.0,"R$ 150,00"
18,1150,Tracker,2025-02-20,2025-02-25,1925.0,"R$ 250,00"
19,1105,T-Cross,2025-02-22,2025-02-26,1300.0,"R$ 200,00"
20,1023,Civic,2025-02-20,2025-02-28,3850.0,"R$ 250,00"
